id,eName,Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,Referee
381,UEFA Champions League,01/18/2020,Dortmund,Paris SG,2,1,0,0,Unknown
382,UEFA Champions League,03/11/2020,Paris SG,Dortmund,2,0,0,1,Unknown
383,UEFA Champions League,02/26/2020,Real Madrid,Man City,1,2,1,0,Unknown
384,UEFA Champions League,07/08/2020,Man City,Real Madrid,2,1,0,0,Unknown
385,UEFA Champions League,18/02/2020,Atalanta,Valencia,4,1,0,0,Unknown
386,UEFA Champions League,10/03/2020,Valencia,Atalanta,3,4,0,0,Unknown
387,UEFA Champions League,18/02/2020,Ath Madrid,Liverpool,1,0,0,0,Unknown
388,UEFA Champions League,11/03/2020,Liverpool,Ath Madrid,2,3,0,0,Unknown
389,UEFA Champions League,25/02/2020,Chelsea,Bayern Munich,0,3,0,1,Unknown
390,UEFA Champions League,08/08/2020,Bayern Munich,Chelsea,4,1,0,0,Unknown
391,UEFA Champions League,06/02/2020,Lyon,Juventus,1,0,0,0,Unknown
392,UEFA Champions League,07/08/2020,Juventus,Lyon,2,1,0,0,Unknown
393,UEFA Champions League,19/02/2020,Tottenham,RB Leipzig,0,1,0,0,Unknown
394,UEFA Champions League,10/03/2020,RB Leipzig,Tottenham,3,0,0,0,Unknown
395,UEFA Champions League,25/02/2020,Napoli,Barcelona,1,1,0,0,Unknown
396,UEFA Champions League,08/08/2020,Barcelona,Napoli,3,1,0,0,Unknown
397,UEFA Champions League,15/08/2020,Man City,Lyon,1,3,0,0,D Makkelie
398,UEFA Champions League,13/08/2020,RB Leipzig,Ath Madrid,2,1,0,0,S Marciniak
399,UEFA Champions League,14/08/2020,Barcelona,Bayern Munich,2,8,0,0,D Skomina
400,UEFA Champions League,12/08/2020,Atalanta,Paris SG,1,2,0,0,A Taylor
401,UEFA Champions League,19/08/2020,Lyon,Bayern Munich,0,3,0,0,A Lahoz
402,UEFA Champions League,18/08/2020,RB Leipzig,Paris SG,0,3,0,0,B Kuipers
403,UEFA Champions League,23/02/2020,Paris SG,Bayern Munich,0,1,0,0,D Orsato
